boxen/our-boxen,
boxen/boxen,
Caliburn-Micro/Caliburn.Micro,
rathena/rathena,
damianh/LibLog,
voxpupuli/puppet-nginx,
garethr/garethr-docker,
puppetlabs/puppetlabs-mysql,
rodjek/rspec-puppet,
puppetlabs/puppetlabs-apache,
openstack/packstack,
cmangos/mangos-wotlk,
puppetlabs/puppetlabs-postgresql,
miranda-ng/miranda-ng,
voxpupuli/puppet-rabbitmq,
sensu/sensu-puppet,
sbadia/puppet-gitlab,
puppetlabs/puppetlabs-ntp,
voxpupuli/puppet-mcollective,
puppetlabs/puppetlabs-lvm,
openstack/fuel-library,
htcondor/htcondor,
boxen/puppet-osx,
solarkennedy/puppet-consul,
openstack/puppet-ceph,
theforeman/puppet-foreman,
alphagov/govuk-puppet,
boxen/puppet-boxen,
theforeman/puppet-puppet,
camptocamp/puppet-postfix,
cmangos/mangos-cata,
voxpupuli/puppet-zabbix,
openstack/puppet-neutron,
voxpupuli/puppet-jira,
jippi/puppet-php,
openstack/puppet-openstack-integration,
wikimedia/mediawiki-vagrant,
puppetlabs/puppetlabs-puppetdb,
voxpupuli/puppet-iis,
openstack/puppet-ironic,
openstack/puppet-trove,
boxen/puppet-ruby,
pcfens/puppet-filebeat,
ajcrowe/puppet-supervisord,
openstack/puppet-tripleo,
voxpupuli/puppet-rundeck,
camptocamp/puppet-openldap,
glarizza/my-boxen,
biemond/biemond-wildfly,
blueboy/portal,
voxpupuli/puppet-kafka,
alphagov/gds-boxen,
openstack-infra/puppet-jenkins,
openstack/puppet-gnocchi,
puppetlabs/puppetlabs-registry,
maxchk/puppet-varnish,
xaque208/puppet-unbound,
ceph/puppet-ceph,
blueboy/portalclassic,
voxpupuli/puppet-confluence,
boxen/puppet-nodejs,
openstack/puppet-pacemaker,
voxpupuli/puppet-gluster,
boxen/puppet-git,
mroth/my-boxen,
alphagov/ci-puppet,
plathrop/puppet-module-supervisor,
felho/boxen,
platanus/our-boxen,
poetic/our-boxen,
krohrbaugh/my-boxen,
rancher/boxen,
quintel/boxen,
bd808/my-boxen,
tarebyte/my-boxen,
BillWeiss/boxen,
jwalsh/our-boxen,
threetreeslight/my-boxen,
seanknox/my-boxen,
josemarluedke/my-boxen,
micalexander/boxen,
belighted/our-boxen,
takashiyoshida/my-boxen,
nrako/my-boxen,
Automattic/vip-quickstart,
mikeedwards83/Glass.Mapper,
openstack-infra/puppet-openstackci,
willdurand/puppet-nodejs,
boxen/puppet-mysql,
danofthewired/puppet-bitbucket,
puppetlabs/puppetlabs-openstack,
Icinga/puppet-icinga2,
openstack-infra/puppet-gerrit,
voxpupuli/puppet-stash,
yankcrime/puppet-telegraf,
alphagov/pp-puppet,
biemond/biemond-oradb,
openstack-infra/puppet-zuul,
Yelp/puppet-uchiwa,
camptocamp/puppet-tomcat,
maestrodev/puppet-sonarqube,
fraenki/puppet-galera,
openstack/fuel-octane,
Juniper/contrail-puppet,
mcintyre321/mvc.jquery.datatables,
camptocamp/puppet-archive,
gds-operations/puppet-aptly,
openstack-infra/puppet-httpd,
wazuh/ossec-puppet,
justindowning/puppet-rbenv,
tPl0ch/puppet-composer,
bastelfreak/puppet-prometheus2,
boxen/puppet-nginx,
developerforce/Force.com-Toolkit-for-NET,
alup/puppet-rbenv,
deric/puppet-mesos,
bfraser/puppet-grafana,
justindowning/puppet-statsd,
twitter/mysql,
vagrantpress/vagrantpress,
craigwatson/puppet-vmwaretools,
epost-dev/opennebula-puppet-module,
gds-operations/puppet-auditd,
hubspotdevops/puppet-nexus,
aeolusproject/aeolus-configure,
AscEmu/AscEmu,
crayfishx/puppet-firewalld,
openstack/puppet-monasca,
mattheath/puppet-php,
Retriman/MadboxpcWOW-core-.json
openstack/puppet-openstack-cookiecutter,
attachmentgenie/attachmentgenie-ssh,
mozilla/make.mozilla.org,
gds-operations/puppet-graphite,
garethr/garethr-diamond,
puppetlabs/pltraining-bootstrap,
DSkywalk/Trinity-MoveMaps,
dell-asm/dell-compellent,
wesleytodd/YeoPress,
Vizir/carnival,
camptocamp/puppet-bind,
lmorchard/badg.us,
puppetlabs/pltraining-classroom,
boxen/puppet-iterm2,
thiagoarrais/gtk2hs,
NuGet/NuGet.Server,
puppetlabs/puppetlabs-rpmbuilder,
webdsl/webdsl,
kemra102/puppet-auditd,
aspose-pdf/Aspose.Pdf-for-.NET,
StackStorm/st2workroom,
justindowning/puppet-awscli,
boxen/puppet-virtualbox,
dgoodlad/puppet-chruby,
maanuel/Isle-of-Conquest,
fga-gpp-mds/2017.1-SIGS,
djjudas21/puppet-freeradius,
boxbilling/boxbilling,
purpleidea/puppet-gluster,
Sphereserver/Source,
zpublic/zpublic,
basho-labs/puppet-riak,
KrisBuytaert/puppet-graphite,
openstack-infra/puppet-mediawiki,
mloberg/puppet-python,
openstack-infra/puppet-ansible,
olivierHa/puppet-influxdb,
fuel-infra/puppet-manifests,
openstack-dev/devstack-vagrant,
cambridgehackers/connectal,
mozilla/socorro-infra,
mayflower/wasted,
willdurand/puppet-composer,
sgnl05/sgnl05-sssd,
mozilla/wiki.mozilla.org,
Mirantis/solar,
walkamongus/realmd,
echoes-tech/puppet-monit,
zend-patterns/ZendServerPuppet,
gds-operations/puppet-rbenv,
redhat-openstack/puppet-galera,
markrendle/Simple.Web,
GoogleCloudPlatform/magic-modules,
openstack/fuel-plugin-external-zabbix,
deric/puppet-accounts,
openstack-infra/puppet-graphite,
vamsee/puppet-solr,
duritong/puppet-shorewall,
Yelp/puppet-cron,
lesaux/puppet-kibana4,
soylent/konstantin-fluentd,
lelutin/puppet-fail2ban,
norcams/himlar,
duritong/puppet-hiera,
puppetlabs/pltraining-userprefs,
SecGen/SecGen,
Razish/japp,
google/mysql,
openstack-infra/puppet-mailman,
puphpet/puppet-puphpet,
theforeman/foreman-installer-staypuft,
theforeman/puppet-git,
duritong/puppet-tor,
cargomedia/puppet-packages,
xaque208/puppet-openvpn,
poolski/puppet-beats,
goldyfruit/puppet-grub2,
gds-operations/puppet-resolvconf,
lightblue-platform/lightblue-puppet,
wikimedia/puppet-cdh,
openstack-infra/puppet-exim,
tsuru/puppet-tsuru,
camptocamp/puppet-python,
HewlettPackard/oneview-puppet,
jlambert121/jlambert121-puppet,
CiscoSystems/puppet-openstack,
bodepd/puppetlabs-openstack,
subvisual/blog.subvisual.co,
sureandrew/trinitycore,
derekmolloy/exploringBB,
hurtsky/rathena, 
