2015-Middleware-Keynote,demo-ansible
antshin72,configuration
atulsian89,Streisand
benregn,cookiecutter-django-ansible
bugcy013,edx_infra
carlosthe19916,openshift-ansible
CentOS-PaaS-SIG,aos-ci
CentOS-PaaS-SIG,ci-pipeline
chenshuchuan,configuration
CiscoCloud,mantl
CiscoCloud,microservices-infrastructure
CyberAnalyticDevTeam,SimpleRock
d34dh0r53,os-ansible-deployment
debops,ansible-apt
debops,ansible-bootstrap
debops,ansible-docker
debops,ansible-php
debops,debops
debops,debops-playbooks
dell,idrac-ansible-module
demisto,content
devananda,bifrost
edx,configuration
enterprisemediawiki,meza
enterprisemediawiki,Meza1
frappe,bench
gashac03,ubuntu
gc3-uzh-ch,elasticluster
girder,girder_worker
gluster,gdeploy
hastexo,edx-configuration-old
hmcmooc,ec2-edx-configuration
jlund,streisand
Katello,katello-deploy
kubenow,KubeNow
laincloud,lain
LearnEra,LearnEra-Configuration
mantl,mantl
mcapuccini,KubeNow
michaelsteiner19,open-edx-configuration
mozilla,123done
negritobomb,edxplat
open-power-ref-design-toolkit,cluster-genesis
open-power-ref-design-toolkit,os-services
open-power-ref-design,os-services
openebs,openebs
openshift,openshift-ansible-contrib
openshift,openshift-tools
openstack,bifrost
openstack,networking-ovn
os-cloud,os-ansible-deployment
ovnicraft,evex-configuration
pdehaye,theming-configuration
pedrorib,istx
rcbops,ansible-lxc-rpc
rcbops,rpc-openstack
redhat-openstack,openshift-on-openstack
redhat-performance,satellite-performance
rocknsm,rock
rocknsm,SimpleRock
RUedx,configuration
stevendborrelli,mi-security
sudheerchintala,LearnEra-Configuration
UXE,edx-configuration
VaneCloud,openstack-ansible
vccw-team,vccw
yanyao,newton
yanyao,openstack-deployment
yanyao,openstack-deployment-liberty
